Unnamed: 0,country,designation,points,price,province,region_1,region_2,variety,winery
4,US,Vintner's Reserve Wild Child Block,87,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Sweet Cheeks
10,US,Mountain Cuvée,87,19.0,California,Napa Valley,Napa,Cabernet Sauvignon,Kirkland Signature
23,US,Signature Selection,87,22.0,California,Paso Robles,Central Coast,Merlot,Bianchi
25,US,King Ridge Vineyard,87,69.0,California,Sonoma Coast,Sonoma,Pinot Noir,Castello di Amorosa
33,US,Puma Springs Vineyard,86,50.0,California,Dry Creek Valley,Sonoma,Red Blend,Envolve
35,US,Hyland,86,50.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Erath
55,US,Estate Bottled,85,30.0,California,Napa Valley,Napa,Chardonnay,RustRidge
60,US,Estate,86,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Okapi
62,US,Alder Ridge Vineyard,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Ram
64,US,Golden Horn,86,26.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Sevtap
67,US,Inspired,86,46.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Basel Cellars
71,US,Old Vine,86,40.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Eco Terreno
73,US,Bella Vetta Vineyard,86,75.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Hindsight
74,US,Estate Grown,86,55.0,California,Calistoga,Napa,Petite Sirah,Hindsight
75,US,The Cypher,86,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Mulvane Wine Co.
78,US,Rosé of,86,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Z'IVO
84,US,Classic,86,24.0,California,Napa Valley,Napa,Zinfandel,Napa Cellars
87,US,Blau Vineyards,86,55.0,California,Knights Valley,Sonoma,Merlot,Passaggio
90,US,Siena,88,23.0,California,Sonoma County,Sonoma,Red Blend,Ferrari-Carano
92,US,Magnificat,88,55.0,California,Napa Valley,Napa,Meritage,Franciscan
94,US,Grand Klasse Reserve Lawrence Vineyards,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gård
97,US,Ingle Vineyard,88,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
99,US,Intreccio Library Selection,88,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Soquel Vineyards
101,US,Red Oak Vineyard,87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
102,US,Yellow Dog Vineyard,87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
108,US,J.D. Hurley,87,26.0,California,Santa Clara Valley,Central Coast,Zinfandel,Martin Ranch
111,US,Wolff Vineyard,87,85.0,California,Yountville,Napa,Cabernet Sauvignon,Piña
114,US,BDX,87,18.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Pull
116,US,Camp 4 Vineyard,87,25.0,California,Santa Ynez Valley,Central Coast,Grenache Blanc,R2
121,US,Stuhlmuller Vineyard,92,36.0,California,Alexander Valley,Sonoma,Chardonnay,Matrix
122,US,Rockpile Cemetary Vineyard,92,39.0,California,Rockpile,Sonoma,Zinfandel,Mauritson
144,US,K Block,91,85.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Terra Valentine
145,US,Guidotti Vineyard,91,64.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
146,US,Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
147,US,Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
149,US,Destruction Level,91,35.0,California,Monterey,Central Coast,Rhône-style Red Blend,Wrath
150,US,Ruth's Reach,91,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Yardstick
152,US,Estate Reserve,91,55.0,California,Carmel Valley,Central Coast,Pinot Noir,Albatross Ridge
153,US,Old 900,91,46.0,California,Paso Robles,Central Coast,Syrah,Alta Colina
161,US,Mr. Nibbles,91,35.0,California,Paso Robles,Central Coast,Red Blend,Chronic Cellars
162,US,Claiborne Vineyard,91,28.0,California,Edna Valley,Central Coast,Riesling,Claiborne & Churchill
168,US,Rector Creek Vineyard,91,95.0,California,Napa Valley,Napa,Merlot,Duckhorn
169,US,Dutton Ranch,91,44.0,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
178,US,Jack London Vineyard,88,25.0,California,Sonoma Valley,Sonoma,Syrah,Kenwood
180,US,Lucia Highland Vineyard,88,23.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Manzoni
181,US,Mission Ranch,88,36.0,California,Arroyo Seco,Central Coast,Pinot Noir,McIntyre Vineyards
198,US,Four Soil Mélange,90,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
199,US,Rising Starr Estate Bottled,90,28.0,California,Nevada County,Sierra Foothills,Cabernet Franc,Sierra Starr
204,US,Gesture,90,30.0,California,Paso Robles,Central Coast,G-S-M,J. Lohr
205,US,October Night,90,25.0,California,Arroyo Seco,Central Coast,Chardonnay,J. Lohr
207,US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32.0,California,Dry Creek Valley,Sonoma,Zinfandel,Del Carlo Winery
213,US,1105,90,48.0,California,Paso Robles,Central Coast,Red Blend,MCV
214,US,Verah,90,36.0,California,Dry Creek Valley,Sonoma,Rhône-style Red Blend,Mounts
227,US,Grace House,85,15.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Wagner
228,US,Semi-Dry,85,14.0,New York,Cayuga Lake,Finger Lakes,Riesling,Treleaven
229,US,Costa Del Sol,85,18.0,California,Napa Valley,Napa,Red Blend,Benessere
233,US,Reserve,85,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
235,US,Thompson Vineyard,85,49.0,California,Santa Barbara County,Central Coast,Syrah,Testarossa
236,US,Kiss Ridge Vineyard,85,85.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Meeker
242,US,Reserve Selection,85,15.0,California,Russian River Valley,Sonoma,Chardonnay,Hayman & Hill
