title,winery,region,ratings,number of ratings
Shiraz 2016,The Hedonist,Australia·McLaren Vale,3.9,1019
Le Maciole 2016,Ribusieri,Italy·Montecucco,3.7,41
White Frontignac 2017,Rockford,Australia·Barossa Valley,3.6,36
Tempranillo 2015,Samuel's Gorge,Australia·McLaren Vale,4.0,49
Pinot Noir Puy de Dôme 2016,Saint Verny Vignobles,France·Puy-de-Dome,3.4,49
Pinot Noir 2018,Hidden Bench,Canada·Beamsville Bench,3.6,52
Bacchus 2019,Arrowleaf,Canada·Okanagan Valley,4.2,44
Reserve Pinot Noir 2018,Mission Hill Family Estate,Canada·Okanagan Valley,3.7,28
Genesis Red 2016,Kechris Winery,Greece·Macedonia,3.5,42
Viognier 2018,Durigutti,Argentina·Mendoza,3.3,35
Celentano Vineyard Gamay 2018,Orofino,Canada·Similkameen Valley,3.8,43
Dancing in the Sun 2017,Cullen,Australia·Margaret River,3.2,25
Bourgogne Chardonnay 2018,Nicolas Potel,France·Bourgogne,3.8,96
Merlot 2018,Peninsula Ridge Estates Winery,Canada·Niagara Peninsula,3.5,25
Proprietors' Selection Cabernet - Shiraz N.V.,Jackson-Triggs,Canada·Okanagan Valley,3.2,138
Steinterrassen Riesling 2014,Domane Krems,Austria·Kremstal,3.8,83
Blind Trust Red 2017,Laughing Stock Vineyards,Canada·Okanagan Valley,4.1,65
À La Carte Syrah 2017,Pour Le Vin,France·Pays d'Oc,3.1,42
Cabernet Franc 2017,Tinhorn Creek,Canada·Okanagan Valley,3.7,106
Reserve Chardonnay 2013,Salentein,Argentina·Tunuyán,3.8,602
Extravaganza Red Blend 2016,Trapiche,Argentina·Mendoza,3.7,206
Barbera d'Alba Sbilauta 2018,Rizieri,Italy·Barbera d'Alba,3.9,27
Haut-Médoc 2006,Château de Villegeorge,France·Haut-Médoc,3.4,47
Gran Medalla Malbec 2014,Trapiche,Argentina·Mendoza,4.2,1316
Cabernet Sauvignon 2015,La Belle Angèle,France·Vin de Pays,3.1,70
Reserve Chardonnay 2013,Salentein,Argentina·Tunuyán,3.8,602
Sonoma Coast Pinot Noir 2013,Rodney Strong,United States·Sonoma Coast,3.8,27
Dido Macabeu - Garnatxa - Cartoixa 2015,Venus la Universal,Spain·Montsant,4.0,216
Cabernet Sauvignon 2015,La Belle Angèle,France·Vin de Pays,3.1,70
Extravaganza Red Blend 2016,Trapiche,Argentina·Mendoza,3.7,206
Sauvignon Blanc 2017,Map Maker,New Zealand·Marlborough,3.8,66
Haut-Médoc 2006,Château de Villegeorge,France·Haut-Médoc,3.4,47
Gran Medalla Malbec 2014,Trapiche,Argentina·Mendoza,4.2,1316
Terroir Hunter Carignan (T.H.) 2014,Undurraga,Chile·Maule Valley,4.0,471
Pinot Grigio 2016,Giorgio & Gianni,Italy·delle Venezie,3.4,64
Toscana Canonico di Castellare 2016,Castellare,Italy·Toscana,3.7,46
Barbera d'Alba Sbilauta 2018,Rizieri,Italy·Barbera d'Alba,3.9,27
Private Reserve Sauvignon Blanc 2017,Peller Estates,Canada·Niagara Peninsula,3.5,26
Proprietors' Selection Cabernet - Shiraz N.V.,Jackson-Triggs,Canada·Okanagan Valley,3.2,138
Discovery Series P3 Pinot Gris - Pinot Noir - Pinot Blanc 2017,Inniskillin,Canada·Niagara Peninsula,3.6,28
Blind Trust Red 2017,Laughing Stock Vineyards,Canada·Okanagan Valley,4.1,65
Carmenère (Select Terroir Reserva) 2019,Santa Ema,Chile·Cachapoal Valley,3.2,40
Crofters Chardonnay 2016,Houghton,Australia·Pemberton,3.4,26
The Tea Leaf Chenin Blanc 2016,Boutinot,South Africa·Western Cape,3.9,33
Montepulciano d'Abruzzo 2014,Farnese,Italy·Montepulciano d'Abruzzo,3.2,53
À La Carte Syrah 2017,Pour Le Vin,France·Pays d'Oc,3.1,42
Cabernet Franc 2017,Tinhorn Creek,Canada·Okanagan Valley,3.7,106
Les Hauts de la Perruche Saumur Champigny 2018,Domaine de la Perruche,France·Saumur-Champigny,4.0,80
Steinterrassen Riesling 2014,Domane Krems,Austria·Kremstal,3.8,83
Toscana Bianco (Vermentino) 2017,Poggio Al Lupo,Italy·Toscana,4.1,36
Montepulciano d'Abruzzo 2014,Farnese,Italy·Montepulciano d'Abruzzo,3.2,53
